Message,Priority,Tags
"So we just bought a new low end laptop and I'm not in the process of adding the normal software stuff.  6 days in to our cycle, and we're already over our 12 GB limit, but that's another story....anyway, I know I'm already on the superslow pass.  So, while downloading on the new computer, the virus software download tells me that I'm downloading at 5-10 Kb/s (not Mb/s)...and that reminds me a lot of telephone line speed.  So, I decide to head over to speedtest.net on my ""old"" laptop to see what the deal is.  For some reason, speedtest.net tells me I'm downloading at 2.23 Mb/s.  What gives??",0,Service
"Richard with Digital Media Services out of Bossier City, LA just did the install for my step son. He did an amazing job, roof install since that was the only way to get line of sight. He was friendly, professional and, had a good sense of humor when we decided to play a joke on him.",0,Praise
"What ever happened to unlimited data? I use to have unlimited when I first sign up with exede , I change plan thinking I would not need unlimited. I went back in my account to switch back and it is not there anymore .",1,Inquiry
do I need to have a dish for TV and internet service?,0,Inquiry
"I am on the new system and like it.  Works fine!  I am running Windows 10 constantly updated and the Viasat Browser is the default, and it works fine too.
I don't like webmail generally, and do not like or care to use Gmail or any of the other webmail servers.  I find the Wildblue webmail server to be clunky.  It works OK, but given the volume of what I do, I'd prefer something else.
I want to install and use a POP3 email reader.",0,Inquiry
"I have had Exede for two weeks now, during the day i get 5-6mb down and at 9-10pm I only get 200k down. Will this get better as people are moved to viasat-2? I have the 12mb unlimited plan.",1,Service
Please hold on billing my account until you provide the service I am paying for. My upload speed this morning is less than 1mg I have had to keep paying for my ATT dsl as it is faster at this moment than my uploads on your platform. I have a appointment and ticket ######## and appointment on Monday with your service tech. Again don't charge my card until you deliver what you have sold me.,1,Service
"I am a disabled senior on a fixed income, is there a discount available for me, and if so please specify?",1,Inquiry
"5/10/2018 I was under the impression with the faster speeds my son gaming would run great. However it lag to much. Just signed the contract today. If this can't be corrected. I would like to cancel. Thank you,",0,Service
I seem to be having a problem with this forum where most of my responses end up double posting. Can one of the mods please look into this?,0,DNR
When I try to pay my Directv bill it tells me to go the the Viasat website to view and pay my bill. But this website won't list anything but my internet. I'm 3 months behind on my Directrv bill!,0,Inquiry
I was just reading page on slow page loading/ internet access. I ran the speed test and clocked 5.6 down and .67 up. Both are less than 1/2 of the offered speed with my subscription. It is Saturday at 8:40 ET and maybe there are a lot of users right now. It would be useful if there was an easily accessible metric on the wild blue page that showed # of users using the service vs the number of users where a slowdown would be expected to occur (the latter number should be a constant as it is the capacity of the satellite).,0,Inquiry
My connection speed is .4 MBPS and I'm paying for 30 MBPS. Clearly there's an issue with my new service. I've already reset the modem 3 times and it's even worse.,1,Service
My wildblue.net email has suddenly quit working after the huge windows 10 update.  Is there a connection or has wildblue.net email changed clients?,0,Inquiry
I am new to excede. I have a linksy wireless router. My house is 2 stories and about 3000 square feet. I can not get a good signal on the other side of the house or upstairs. Is there anything I can do so I can get signal to the other side of the house? Do I need another wireless router,1,Technical
"Pretty hilarious. Even if they were giving it away for free, there is no way I would commit to another 24 month agreement with this sorry excuse for a company!",0,Service
"I'm thinking about getting the unlimited silver or bronze plan.  They offer the 12mbps down service in my area.  My questions are:
1. How much can you stream Netflix before getting throttled down?
2. Once you are throttled down, what are the average down and up speeds you guys are seeing?  ",1,Inquiry
